[2024-05-21 20:07:03,077: INFO: main: welcome to our custom log]
[2024-05-27 10:17:31,511: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 10:17:31,521: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 10:18:02,451: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 10:18:02,452: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 10:24:10,450: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 10:24:10,467: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 10:32:40,221: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 10:32:40,221: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 10:39:42,921: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 10:39:42,937: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 10:39:42,937: INFO: common: created directory at: artifacts]
[2024-05-27 10:39:42,940: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-27 10:39:42,944: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-27 11:15:20,737: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 11:15:20,747: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 11:15:20,750: INFO: common: created directory at: artifacts]
[2024-05-27 11:15:20,752: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-27 11:15:20,753: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-27 11:16:32,425: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-27 20:13:50,216: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-05-27 20:13:50,216: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 20:13:50,216: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 20:13:50,216: INFO: common: created directory at: artifacts]
[2024-05-27 20:13:50,216: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-27 20:13:50,216: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-27 20:16:05,901: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-27 20:16:06,716: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
